listing_id,name,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,reviews_per_month,availability_365
853488,A Nice Cozy Room in Fun Family Home,92126,32.92114,-117.14685,Private room,39.0,31.0,28.0,2018-01-31,6.0,,
20093906,1B1B of Single Family with Private Entrance,92131,32.9303,-117.10468,Private room,39.0,31.0,6.0,2018-09-30,2.0,,
20852562,★Cozy room with bathroom★,92111,32.77098,-117.18277,Private room,40.0,30.0,30.0,2019-08-08,2.0,,
22656142,★Room for You★,92111,32.76991,-117.18118,Private room,48.0,25.0,8.0,2019-08-01,2.0,,
30590175,Private master and bath in Hillcrest!,92104,32.74578,-117.14293,Private room,85.0,14.0,1.0,2019-04-09,3.0,,
791505,Temporary Furnished Housing - Ideal For Students,92110,32.74995,-117.19341,Private room,39.0,30.0,1.0,2018-06-19,7.0,,
37774796,"Clean Bedroom - Ideal for Student, Intern, Coder",92101,32.71683,-117.15142,Private room,39.0,30.0,0.0,,7.0,,
6360748,Welcoming town home in San Diego :),92110,32.74809,-117.22727,Private room,55.0,21.0,8.0,2016-08-11,1.0,,
20329937,Homey Condo blocks from downtown San Diego,92102,32.71767,-117.14477,Private room,37.0,30.0,1.0,2019-04-01,1.0,,
19037986,Summer In San Diego! Great Location! Furnished!,92103,32.74771,-117.15552,Private room,36.0,30.0,0.0,,1.0,,
2023443,"2. Close to Qualcomm UCSD,Clean,WIFI,AC,Parking",92126,32.90274,-117.13673,Private room,35.0,30.0,166.0,2019-01-01,6.0,,
15829735,XL. Clean Bedroom / Fun Downtown San Diego,92101,32.71743,-117.1512,Private room,35.0,30.0,2.0,2017-04-03,7.0,,
21276801,"Quiet San Diego Art-filled Home, Long-term Stays",92124,32.8286,-117.07746,Private room,35.0,30.0,11.0,2019-08-10,1.0,,
29876356,East Village - Ideal for Student or Intern,92101,32.71753,-117.15135,Private room,35.0,30.0,0.0,,7.0,,
14358894,A quiet retreat for solo travellers,92115,32.76023,-117.08714,Private room,250.0,4.0,0.0,,1.0,,
22166321,Relaxed room in beautiful Carmel Valley!,92130,32.94399,-117.23439,Private room,33.0,30.0,6.0,2019-07-28,2.0,,
32286661,Private room and bath in a clean charming home.,92129,32.9863,-117.08944,Private room,33.0,30.0,1.0,2019-04-28,1.0,,
22066636,Rest in peace in the Blue Room just E of La Jolla,92117,32.84214,-117.19042,Private room,35.0,28.0,7.0,2019-08-09,4.0,,
25745817,Vibrant but relaxing room close to La Jolla!,92117,32.84131,-117.19003,Private room,35.0,28.0,2.0,2019-04-11,4.0,,
36558376,Near UCSD quiet space,92122,32.86261,-117.21824,Private room,35.0,28.0,0.0,,8.0,,
2234293,"1. Close to Qualcomm UCSD,Clean,WIFI,AC,Parking",92126,32.90321,-117.13889,Private room,48.0,20.0,166.0,2019-07-31,6.0,,
28260942,San Diego Condominium,92117,32.823,-117.18029,Private room,950.0,1.0,0.0,,1.0,,
32267334,Panoramic Ocean Views in Ocean Beach,92107,32.74207,-117.24416,Private room,94.0,10.0,1.0,2019-05-31,1.0,,
21023173,July Special Private Room & bath in a nice home,91910,32.64436,-117.04905,Private room,30.0,30.0,4.0,2019-06-21,1.0,,
32307524,Heavenly home for all.,92122,32.84951,-117.20328,Private room,180.0,5.0,0.0,,3.0,,
34626173,Summer Single Master Bedroom,92122,32.87118,-117.20284,Private room,45.0,20.0,0.0,,1.0,,
35366975,SHARED ROOM NEAR UTC,92122,32.8705,-117.21576,Shared room,30.0,30.0,0.0,,1.0,,
3369288,A Tranquil haven in San Diego,92102,32.71419,-117.14391,Private room,125.0,7.0,12.0,2019-05-16,3.0,,
35767921,Ocean View La Jolla House Share,92037,32.82561,-117.27173,Private room,125.0,7.0,0.0,,5.0,,
25268522,B1: Remodled Clean Private room Close to Qualcomm,92126,32.91192,-117.15523,Private room,40.0,20.0,8.0,2019-08-10,6.0,,
37630130,Rm 1 Gem in Escondido perfect for a traveling Rn,92025,33.06513,-117.05334,Private room,38.0,21.0,0.0,,2.0,,
29625930,Month-To-Month Female Dorm Bed in Downtown SD,92101,32.72343,-117.16611,Shared room,24.0,30.0,0.0,,30.0,,
3413201,Charming Craftsman in San Diego,92102,32.71374,-117.14325,Private room,100.0,7.0,14.0,2019-08-16,3.0,,
4058301,Cozy home!  Middle of the action!,92116,32.76096,-117.11463,Private room,175.0,4.0,12.0,2015-09-08,2.0,,
12591014,Room available for one month.,92123,32.80027,-117.1362,Private room,700.0,1.0,0.0,,1.0,,
