listing_id,name,host_id,neighbourhood,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,data_year
25863302,⭐Comfy⭐Cozy⭐Semi Urban Tiny Living at its Finest!,11315693,Adams North,92116,32.77274,-117.11967,Entire home/apt,50.0,30,1.0,2018-12-20,,,2024
31408873,Monthly Rental- Private room in Carmel Valley,86208228,Carmel Valley,92130,32.94397,-117.23829,Private room,50.0,30,1.0,2019-03-28,,,2024
35262593,Spacious room for rent in beautiful La Jolla!!,241812002,University City,92122,32.86071,-117.22493,Private room,50.0,30,0.0,,,,2024
36482844,The Kensington Coterie,7118915,Kensington,92116,32.76272,-117.10061,Private room,50.0,30,0.0,,,,2024
37638628,"N2. Close to Alliant, Qualcomm, UCSD,WIFI,AC",7653310,Scripps Ranch,92131,32.90422,-117.09932,Private room,50.0,30,0.0,,,,2024
22077644,Pacific Beach Sail Bay beautiful Water front condo,112554728,Pacific Beach,92109,32.79091,-117.24246,Private room,59.0,25,4.0,2019-06-30,,,2024
12389313,One Bedroom/One Bathroom in UTC,27557320,University City,92122,32.86836,-117.22299,Entire home/apt,69.0,21,0.0,,,,2024
23223261,"Downtown San Diego room, near Gaslamp &Petco Park",99568289,East Village,92101,32.71151,-117.15307,Private room,48.0,30,0.0,,,,2024
3138510,"7. Master bedroom private bathroom Wifi,AC",7653310,Mira Mesa,92126,32.93072,-117.14122,Private room,47.0,30,120.0,2018-06-08,,,2024
10770084,Private Rm in Old Town 2 BDRM Apt-w-Private Entr.,3547828,Old Town,92110,32.75072,-117.19379,Private room,47.0,30,0.0,,,,2024
20032284,Private studio room in Hillcrest,115949360,Hillcrest,92103,32.74546,-117.16043,Private room,47.0,30,3.0,2018-12-29,,,2024
31467916,Hillcrest Inn Hotel,115949360,Hillcrest,92103,32.74508,-117.16037,Private room,47.0,30,0.0,,,,2024
35499303,"Peaceful, quiet, across the street from a pond",267015116,Scripps Ranch,92131,32.89986,-117.10434,Private room,45.0,31,2.0,2019-08-11,,,2024
35511342,BEAUTIFUL AND NICE ROOM,267015116,Scripps Ranch,92131,32.89856,-117.10375,Private room,45.0,31,0.0,,,,2024
35581781,Green Room,267015116,Scripps Ranch,92131,32.8991,-117.10448,Private room,45.0,31,3.0,2019-08-04,,,2024
17889842,Private studio room in San Diego,115949360,Hillcrest,92103,32.74651,-117.15988,Private room,46.0,30,1.0,2019-07-30,,,2024
27678337,San diego Single room in a single family home,208912475,,91913,32.61353,-117.01081,Private room,49.0,28,1.0,2019-04-02,,,2024
18011360,Great location!PRIVATE bath KING bed  Close Beach!,123828561,Carmel Valley,92130,32.94411,-117.23391,Private room,45.0,30,66.0,2017-09-30,,,2024
25035332,Quiet and Cozy Retreat,146015788,Carmel Valley,92130,32.94321,-117.23538,Private room,45.0,30,0.0,,,,2024
17221345,Hillcrest Inn Hotel,115949360,Hillcrest,92103,32.74728,-117.16045,Private room,44.0,30,4.0,2019-07-20,,,2024
